Código región,Código provincia,Código comuna,Años de escolaridad promedio,edad_min,edad_max
4,41.0,4106.0,12.9,30,34.0
4,41.0,4106.0,12.5,35,39.0
4,41.0,4106.0,12.1,40,44.0
4,41.0,4106.0,11.3,45,49.0
4,41.0,4106.0,10.9,50,54.0
4,41.0,4106.0,10,55,59.0
4,41.0,4106.0,9.7,60,64.0
4,41.0,4106.0,9.3,65,69.0
4,41.0,4106.0,8.5,70,74.0
4,41.0,4106.0,7.4,75,79.0
4,41.0,4106.0,6.4,80,84.0
4,41.0,4106.0,5.8,85,
4,42.0,4201.0,0,0,4.0
4,42.0,4201.0,1.5,5,9.0
4,42.0,4201.0,6.1,10,14.0
4,42.0,4201.0,10.4,15,19.0
4,42.0,4201.0,12.8,20,24.0
4,42.0,4201.0,13.4,25,29.0
4,42.0,4201.0,13.3,30,34.0
4,42.0,4201.0,12.9,35,39.0
4,42.0,4201.0,12.3,40,44.0
4,42.0,4201.0,11.6,45,49.0
4,42.0,4201.0,10.7,50,54.0
4,42.0,4201.0,9.9,55,59.0
4,42.0,4201.0,9.3,60,64.0
4,42.0,4201.0,9,65,69.0
4,42.0,4201.0,7.9,70,74.0
4,42.0,4201.0,6.7,75,79.0
4,42.0,4201.0,5.8,80,84.0
4,42.0,4201.0,4.6,85,
4,42.0,4202.0,0,0,4.0
4,42.0,4202.0,1.6,5,9.0
