Código región,Código provincia,Código comuna,Grupos de edad,Población censada,Hombres,Mujeres
3,31.0,3103.0,0 a 4,655.0,348.0,307.0
3,31.0,3103.0,5 a 9,859.0,452.0,407.0
3,31.0,3103.0,10 a 14,942.0,488.0,454.0
3,31.0,3103.0,15 a 19,965.0,483.0,482.0
3,31.0,3103.0,20 a 24,872.0,472.0,400.0
3,31.0,3103.0,25 a 29,845.0,428.0,417.0
3,31.0,3103.0,30 a 34,938.0,469.0,469.0
3,31.0,3103.0,35 a 39,807.0,379.0,428.0
3,31.0,3103.0,40 a 44,713.0,354.0,359.0
3,31.0,3103.0,45 a 49,683.0,350.0,333.0
3,31.0,3103.0,50 a 54,780.0,404.0,376.0
3,31.0,3103.0,55 a 59,744.0,391.0,353.0
3,31.0,3103.0,60 a 64,689.0,368.0,321.0
3,31.0,3103.0,65 a 69,504.0,255.0,249.0
3,31.0,3103.0,70 a 74,372.0,191.0,181.0
3,31.0,3103.0,75 a 79,230.0,115.0,115.0
3,31.0,3103.0,80 a 84,145.0,74.0,71.0
3,31.0,3103.0,85 o más,103.0,49.0,54.0
3,32.0,3201.0,0 a 4,614.0,309.0,305.0
3,32.0,3201.0,5 a 9,865.0,457.0,408.0
3,32.0,3201.0,10 a 14,1027.0,537.0,490.0
3,32.0,3201.0,15 a 19,845.0,437.0,408.0
3,32.0,3201.0,20 a 24,758.0,414.0,344.0
3,32.0,3201.0,25 a 29,882.0,479.0,403.0
3,32.0,3201.0,30 a 34,949.0,481.0,468.0
3,32.0,3201.0,35 a 39,864.0,427.0,437.0
3,32.0,3201.0,40 a 44,707.0,340.0,367.0
3,32.0,3201.0,45 a 49,736.0,356.0,380.0
3,32.0,3201.0,50 a 54,742.0,377.0,365.0
3,32.0,3201.0,55 a 59,728.0,353.0,375.0
3,32.0,3201.0,60 a 64,784.0,370.0,414.0
3,32.0,3201.0,65 a 69,627.0,329.0,298.0
3,32.0,3201.0,70 a 74,462.0,226.0,236.0
3,32.0,3201.0,75 a 79,349.0,159.0,190.0
3,32.0,3201.0,80 a 84,220.0,90.0,130.0
3,32.0,3201.0,85 o más,186.0,78.0,108.0
3,32.0,3202.0,0 a 4,554.0,260.0,294.0
3,32.0,3202.0,5 a 9,813.0,418.0,395.0
3,32.0,3202.0,10 a 14,1045.0,543.0,502.0
3,32.0,3202.0,15 a 19,805.0,441.0,364.0
3,32.0,3202.0,20 a 24,641.0,347.0,294.0
3,32.0,3202.0,25 a 29,821.0,396.0,425.0
3,32.0,3202.0,30 a 34,851.0,412.0,439.0
3,32.0,3202.0,35 a 39,876.0,417.0,459.0
